Year,Code,Number of executions (Amnesty International),Deaths - Meningitis - Sex: Both - Age: All Ages (Number),Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),"Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",Deaths - Malaria - Sex: Both - Age: All Ages (Number),Deaths - Drowning - Sex: Both - Age: All Ages (Number),Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),Deaths - Road injuries - Sex: Both - Age: All Ages (Number),Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),Deaths - Self-harm - Sex: Both - Age: All Ages (Number),Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),Deaths - Poisonings - Sex: Both - Age: All Ages (Number),Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),Terrorism (deaths),Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number)
1990,,,21043.0,947918.0,14439.0,7886.0,31237.0,133089.0,45969.0,7264.0,47684.0,156302.0,14101.0,275301.0,227441.0,22452.0,788.0,126401.0,2613.0,55155.0,65140.0,6142.0,137118.0,4836.0,50333.0,,1637468.0,90872.0,213397.0,121345.0,235105.0,1696.0,119929.0,23921.0
1991,,,20055.0,960958.0,14091.0,9679.0,30440.0,138761.0,55306.0,7624.0,45654.0,154838.0,13505.0,269844.0,219462.0,22991.0,831.0,120619.0,2498.0,53588.0,65722.0,7042.0,141841.0,4661.0,48954.0,,1635072.0,93289.0,218952.0,122247.0,236533.0,1662.0,127157.0,24565.0
1992,,,19316.0,979933.0,13523.0,9210.0,29866.0,139478.0,64745.0,8154.0,44735.0,154091.0,13485.0,268665.0,212882.0,23637.0,688.0,111298.0,2446.0,52378.0,66653.0,5351.0,148169.0,4534.0,47871.0,,1645910.0,97238.0,226699.0,124497.0,240217.0,1649.0,134098.0,25477.0
1993,,,18895.0,1009028.0,13606.0,7739.0,29632.0,144408.0,74802.0,8945.0,43249.0,155969.0,12972.0,270859.0,207306.0,24332.0,2014.0,104181.0,2662.0,51179.0,68700.0,1734.0,156776.0,4441.0,46713.0,,1683882.0,102266.0,238581.0,128538.0,246559.0,1626.0,141269.0,26794.0
1994,,,18212.0,1027683.0,13060.0,7126.0,29226.0,146047.0,84869.0,9623.0,40941.0,156822.0,13377.0,269443.0,201546.0,24849.0,1947.0,96319.0,2405.0,49679.0,69914.0,3165.0,163317.0,4295.0,45369.0,,1693549.0,106569.0,246277.0,130921.0,249884.0,1601.0,147452.0,27781.0
1995,,,17663.0,1048877.0,12782.0,7424.0,28774.0,147123.0,90184.0,10299.0,39442.0,157455.0,12749.0,268916.0,196576.0,25133.0,895.0,88393.0,2910.0,48481.0,70818.0,2507.0,170336.0,4158.0,44306.0,,1710762.0,112226.0,255754.0,133161.0,253400.0,1559.0,153533.0,28985.0
1996,,,16913.0,1062151.0,12875.0,5639.0,28256.0,146189.0,81243.0,11043.0,37741.0,157505.0,12117.0,266999.0,191920.0,25435.0,926.0,80903.0,2333.0,47816.0,71169.0,2713.0,175531.0,4038.0,43796.0,,1716031.0,118011.0,264251.0,134485.0,255833.0,1523.0,157958.0,30064.0
1997,,,16114.0,1073636.0,12215.0,4758.0,27772.0,146173.0,66481.0,12129.0,35773.0,156793.0,11963.0,264302.0,187637.0,26015.0,1649.0,74277.0,2255.0,47049.0,71944.0,2502.0,179820.0,3919.0,43185.0,,1712062.0,124777.0,271741.0,136353.0,258368.0,1456.0,160573.0,31176.0
1998,,,15268.0,1094328.0,11956.0,6893.0,27271.0,149417.0,63137.0,13400.0,34042.0,155925.0,11815.0,262784.0,183916.0,26717.0,22193.0,69139.0,2269.0,46557.0,72906.0,2445.0,185386.0,3774.0,42812.0,,1726891.0,134614.0,282686.0,139297.0,263018.0,1404.0,163115.0,32674.0
1999,,,14177.0,1115759.0,11621.0,5385.0,26491.0,149258.0,66179.0,15125.0,32163.0,155189.0,11650.0,257112.0,179645.0,27216.0,32436.0,63809.0,2274.0,45692.0,73389.0,2451.0,191980.0,3684.0,42094.0,,1743042.0,144288.0,293629.0,141088.0,266595.0,1383.0,165940.0,34261.0
2000,,,13284.0,1131311.0,11426.0,5512.0,25944.0,155570.0,66414.0,16861.0,30287.0,154481.0,11238.0,252203.0,175932.0,27721.0,1009.0,59408.0,2213.0,44370.0,73987.0,2272.0,196406.0,3605.0,40920.0,,1738414.0,153372.0,298993.0,143162.0,270129.0,1326.0,170078.0,35660.0
2001,,,12608.0,1147774.0,11643.0,4298.0,25537.0,159426.0,67302.0,18869.0,28716.0,154839.0,11422.0,249955.0,171770.0,28257.0,2105.0,56458.0,2014.0,43550.0,75277.0,6806.0,201727.0,3563.0,40156.0,,1741527.0,162077.0,305600.0,146057.0,275121.0,1274.0,175733.0,37190.0
2002,,,12094.0,1170795.0,11026.0,3411.0,25479.0,167862.0,67989.0,21424.0,27713.0,157019.0,11656.0,250743.0,167822.0,28776.0,1150.0,54662.0,2220.0,42543.0,76739.0,3342.0,209207.0,3605.0,39205.0,,1755559.0,171619.0,313578.0,150151.0,282172.0,1231.0,182231.0,38905.0
2003,,,11743.0,1188923.0,11255.0,2747.0,25170.0,157180.0,68573.0,23898.0,26814.0,157966.0,11638.0,252631.0,164621.0,29373.0,1127.0,53603.0,2320.0,41588.0,77592.0,1909.0,214991.0,3631.0,38331.0,,1757776.0,180565.0,319958.0,153764.0,288311.0,1198.0,189009.0,40396.0
2004,,,11462.0,1197413.0,10718.0,2123.0,24753.0,152980.0,67653.0,25963.0,25734.0,158165.0,11348.0,251819.0,159656.0,29981.0,6922.0,51918.0,2064.0,39710.0,77953.0,2897.0,217100.0,3620.0,36642.0,,1737448.0,186911.0,322349.0,154923.0,290783.0,1159.0,195377.0,41409.0
2005,,,11143.0,1214813.0,10692.0,2462.0,24395.0,152075.0,66491.0,28216.0,24768.0,159078.0,11773.0,252376.0,155160.0,30632.0,5141.0,50691.0,2098.0,38200.0,79373.0,2761.0,221291.0,3672.0,35244.0,,1737150.0,195662.0,327984.0,158127.0,296397.0,1123.0,202549.0,42877.0
2006,,,10700.0,1233345.0,10614.0,2577.0,24124.0,154148.0,65201.0,29975.0,23890.0,160053.0,11200.0,253141.0,151112.0,31140.0,805.0,49076.0,2249.0,36562.0,80882.0,1788.0,222333.0,3719.0,33764.0,,1732650.0,203589.0,331852.0,160486.0,300909.0,1099.0,209032.0,44075.0
2007,,,10566.0,1253954.0,10703.0,2215.0,23847.0,152799.0,63408.0,31086.0,23159.0,160368.0,11264.0,255307.0,147777.0,31545.0,2152.0,47713.0,2100.0,35405.0,82392.0,1584.0,223890.0,3690.0,32714.0,,1732362.0,212368.0,337565.0,163376.0,305986.0,1067.0,215722.0,45358.0
2008,,,10350.0,1282827.0,10297.0,1926.0,23716.0,158857.0,61728.0,32242.0,22880.0,161181.0,11279.0,259187.0,143317.0,31962.0,2152.0,46750.0,1963.0,34607.0,84284.0,1069.0,228682.0,3700.0,31932.0,,1747595.0,223183.0,346381.0,168277.0,314226.0,1048.0,222762.0,46926.0
2009,,,10220.0,1310763.0,10226.0,2312.0,23507.0,165580.0,60036.0,33643.0,22887.0,161802.0,11794.0,266184.0,138873.0,32329.0,1191.0,45674.0,2235.0,34106.0,86140.0,1166.0,233348.0,3731.0,31450.0,,1762407.0,233509.0,353877.0,173095.0,322622.0,1044.0,229482.0,48413.0
2010,,,9484.0,1327531.0,9987.0,2675.0,22929.0,165182.0,58775.0,35125.0,22379.0,160462.0,10855.0,271360.0,134446.0,32662.0,225615.0,46005.0,2363.0,33519.0,86783.0,1212.0,235430.0,3696.0,30903.0,,1775045.0,241826.0,361116.0,175190.0,327450.0,1019.0,237195.0,49923.0
2011,,,8978.0,1351202.0,10015.0,1596.0,22403.0,165798.0,57579.0,37625.0,21772.0,159965.0,10590.0,277031.0,129968.0,33169.0,4555.0,49557.0,2077.0,32770.0,88193.0,1047.0,238192.0,3728.0,30210.0,,1797652.0,250790.0,369413.0,178898.0,334091.0,998.0,244626.0,51530.0
2012,,,8543.0,1376127.0,10075.0,1536.0,22013.0,175904.0,56635.0,40089.0,21324.0,159847.0,10660.0,282179.0,125517.0,33564.0,912.0,43563.0,2245.0,32259.0,89442.0,800.0,242203.0,3724.0,29732.0,,1819185.0,259726.0,377025.0,183088.0,341150.0,977.0,251615.0,53048.0
2013,,,8260.0,1404606.0,10474.0,1339.0,21499.0,174873.0,56520.0,43441.0,21233.0,159784.0,11113.0,290957.0,121318.0,34198.0,1087.0,43696.0,2073.0,32246.0,90837.0,600.0,249239.0,3738.0,29729.0,,1853235.0,270814.0,387171.0,188725.0,350671.0,969.0,258866.0,54825.0
2014,,,8105.0,1431173.0,10085.0,946.0,21274.0,173833.0,56317.0,47860.0,21164.0,159541.0,11111.0,296719.0,115989.0,34876.0,850.0,42907.0,2577.0,31959.0,92385.0,530.0,256040.0,3728.0,29470.0,,1885013.0,279546.0,395172.0,192877.0,358172.0,950.0,265447.0,56364.0
2015,,,7937.0,1461378.0,10032.0,964.0,21083.0,177003.0,55855.0,53714.0,20995.0,159382.0,10955.0,303808.0,110756.0,35496.0,1087.0,42608.0,2136.0,31955.0,94305.0,409.0,263278.0,3769.0,29482.0,,1929611.0,289067.0,405971.0,197637.0,367049.0,934.0,273114.0,58203.0
2016,,,7848.0,1499428.0,10170.0,1130.0,21061.0,174262.0,54822.0,60930.0,20790.0,160483.0,10509.0,311499.0,105815.0,36069.0,2016.0,42800.0,2185.0,32124.0,96641.0,229.0,273171.0,3812.0,29654.0,,1979281.0,298853.0,416077.0,203637.0,377496.0,931.0,281594.0,59905.0
2017,,,7669.0,1528490.0,9910.0,1116.0,20776.0,178158.0,53399.0,65662.0,20625.0,159887.0,10180.0,313890.0,100930.0,36274.0,2213.0,41884.0,2170.0,32039.0,96408.0,86.0,281941.0,3778.0,29550.0,,2011667.0,303814.0,422295.0,206749.0,383590.0,934.0,290020.0,61076.0
2018,,,7458.0,1574365.0,10039.0,1143.0,20579.0,175534.0,52065.0,68179.0,20411.0,159564.0,9908.0,317426.0,96221.0,37035.0,788.0,41957.0,2264.0,32861.0,95716.0,213.0,291542.0,3737.0,30320.0,,2069108.0,311888.0,435678.0,211306.0,392522.0,944.0,298593.0,63342.0
2019,,,7319.0,1622270.0,10097.0,1342.0,20297.0,173466.0,51057.0,71205.0,20310.0,158677.0,9656.0,322980.0,92528.0,37583.0,368.0,42213.0,2211.0,33718.0,94784.0,32.0,302740.0,3713.0,31115.0,,2130471.0,321560.0,449174.0,215937.0,402205.0,949.0,306271.0,65407.0
